id,name,coefficient
cpd00002_c,ATP,-40.11017574
cpd00001_c,H2O,-35.54030924
cpd17041_c,Protein biosynthesis,-1
cpd17042_c,DNA replication,-1
cpd17043_c,RNA transcription,-1
cpd00033_c,Glycine,-0.509869787
cpd00035_c,L-Alanine,-0.42793438
cpd00107_c,L-Leucine,-0.375388848
cpd00156_c,L-Valine,-0.352233189
cpd00039_c,L-Lysine,-0.28543802
cpd00051_c,L-Arginine,-0.246696823
cpd00322_c,L-Isoleucine,-0.24179851
cpd00023_c,L-Glutamate,-0.219088153
cpd00053_c,L-Glutamine,-0.219088153
cpd00161_c,L-Threonine,-0.211072733
cpd00041_c,L-Aspartate,-0.200830807
cpd00132_c,L-Asparagine,-0.200830807
cpd00129_c,L-Proline,-0.184354665
cpd00054_c,L-Serine,-0.179456353
cpd00066_c,L-Phenylalanine,-0.15451949
cpd00038_c,GTP,-0.135406821
cpd00060_c,L-Methionine,-0.127801423
cpd00069_c,L-Tyrosine,-0.120676605
cpd00062_c,UTP,-0.090831905
cpd00052_c,CTP,-0.084103616
cpd00119_c,L-Histidine,-0.0792636
cpd00084_c,L-Cysteine,-0.076146492
cpd00065_c,L-Tryptophan,-0.047201919
cpd15432_c,core oligosaccharide lipid A,-0.025010598
cpd02229_c,Bactoprenyl diphosphate,-0.025010598
cpd00241_c,dGTP,-0.018678501
cpd00356_c,dCTP,-0.018678501
cpd00115_c,dATP,-0.013360094
cpd00357_c,TTP,-0.013360094
cpd15533_c,phosphatidylethanolamine dioctadecanoyl,-0.010648042
cpd15540_c,Phosphatidylglycerol dioctadecanoyl,-0.010648042
cpd15695_c,Diisoheptadecanoylphosphatidylethanolamine,-0.010648042
cpd15696_c,Dianteisoheptadecanoylphosphatidylethanolamine,-0.010648042
cpd15722_c,Diisoheptadecanoylphosphatidylglycerol,-0.010648042
cpd15723_c,Dianteisoheptadecanoylphosphatidylglycerol,-0.010648042
cpd15793_c,Stearoylcardiolipin (B. subtilis),-0.010648042
cpd15794_c,Isoheptadecanoylcardiolipin (B. subtilis),-0.010648042
cpd15795_c,Anteisoheptadecanoylcardiolipin (B. subtilis),-0.010648042
cpd00030_c,Mn2+,-0.003096467
cpd00063_c,Ca2+,-0.003096467
cpd00099_c,Cl-,-0.003096467
cpd00166_c,Calomide,-0.003096467
cpd00254_c,Mg,-0.003096467
cpd15352_c,2-Demethylmenaquinone 8,-0.003096467
cpd00003_c,NAD,-0.003096467
cpd00006_c,NADP,-0.003096467
cpd00010_c,CoA,-0.003096467
cpd00015_c,FAD,-0.003096467
cpd00016_c,Pyridoxal phosphate,-0.003096467
cpd00017_c,S-Adenosyl-L-methionine,-0.003096467
cpd00028_c,Heme,-0.003096467
cpd00034_c,Zn2+,-0.003096467
cpd00042_c,GSH,-0.003096467
cpd00048_c,Sulfate,-0.003096467
cpd00056_c,TPP,-0.003096467
cpd00058_c,Cu2+,-0.003096467
cpd00087_c,Tetrahydrofolate,-0.003096467
cpd00118_c,Putrescine,-0.003096467
cpd00149_c,Co2+,-0.003096467
cpd00201_c,10-Formyltetrahydrofolate,-0.003096467
cpd00205_c,K+,-0.003096467
cpd00220_c,Riboflavin,-0.003096467
cpd00264_c,Spermidine,-0.003096467
cpd00345_c,5-Methyltetrahydrofolate,-0.003096467
cpd00557_c,Siroheme,-0.003096467
cpd10515_c,Fe2+,-0.003096467
cpd10516_c,fe3,-0.003096467
cpd11493_c,ACP,-0.003096467
cpd15500_c,Menaquinone 8,-0.003096467
cpd15560_c,Ubiquinone-8,-0.003096467
cpd01997_c,Dimethylbenzimidazole,0.003096467
cpd03422_c,Cobinamide,0.003096467
cpd12370_c,apo-ACP,0.003096467
cpd00012_c,PPi,0.484595269
cpd11416_c,Biomass,1
cpd00009_c,Phosphate,39.99690353
cpd00008_c,ADP,40
cpd00067_c,H+,40