rxn,pat,kegg
0,fig|223283.9.peg.1,PSPTO_0001
rxn00642_c,fig|223283.9.peg.1017,
rxn01633_c,fig|223283.9.peg.1017,
171,fig|223283.9.peg.1017,PSPTO_1005
rxn02201_c,fig|223283.9.peg.1052,
172,fig|223283.9.peg.1052,PSPTO_1041
173,fig|223283.9.peg.1063,PSPTO_1051
rxn01456_c,fig|223283.9.peg.1065,
174,fig|223283.9.peg.1065,PSPTO_1053
rxn00283_c,fig|223283.9.peg.108,
11,fig|223283.9.peg.108,PSPTO_0103
rxn02000_c,fig|223283.9.peg.1087,
175,fig|223283.9.peg.1087,PSPTO_1077
rxn01675_c,fig|223283.9.peg.1089,
176,fig|223283.9.peg.1089,PSPTO_1079
rxn02003_c,fig|223283.9.peg.1090,
177,fig|223283.9.peg.1090,PSPTO_1080
rxn03887_c,fig|223283.9.peg.1091,
rxn01997_c,fig|223283.9.peg.1091,
178,fig|223283.9.peg.1091,PSPTO_1081
rxn00770_c,fig|223283.9.peg.1114,
179,fig|223283.9.peg.1114,PSPTO_1104
rxn03908_c,fig|223283.9.peg.1115,
180,fig|223283.9.peg.1115,PSPTO_1105
rxn06591_c,fig|223283.9.peg.1118,
181,fig|223283.9.peg.1118,PSPTO_1108
182,fig|223283.9.peg.1122,PSPTO_1112
rxn00224_c,fig|223283.9.peg.1138,
183,fig|223283.9.peg.1138,PSPTO_1128
184,fig|223283.9.peg.1139,PSPTO_1129
rxn00836_c,fig|223283.9.peg.1142,
185,fig|223283.9.peg.1142,PSPTO_1131
186,fig|223283.9.peg.1148,PSPTO_1136
12,fig|223283.9.peg.116,PSPTO_0112
rxn00173_c,fig|223283.9.peg.1184,
rxn00670_c,fig|223283.9.peg.1184,
187,fig|223283.9.peg.1184,PSPTO_1169
rxn05289_c,fig|223283.9.peg.1195,
188,fig|223283.9.peg.1195,PSPTO_1178
189,fig|223283.9.peg.1199,PSPTO_1182
rxn00297_c,fig|223283.9.peg.1216,
190,fig|223283.9.peg.1216,PSPTO_1196
rxn05313_c,fig|223283.9.peg.122,
13,fig|223283.9.peg.122,PSPTO_0118
rxn01013_c,fig|223283.9.peg.1235,
191,fig|223283.9.peg.1235,PSPTO_1215
rxn01292_c,fig|223283.9.peg.1253,
rxn02155_c,fig|223283.9.peg.1253,
rxn00105_c,fig|223283.9.peg.1253,
rxn00559_c,fig|223283.9.peg.1253,
192,fig|223283.9.peg.1253,PSPTO_1232
rxn00638_c,fig|223283.9.peg.1264,
193,fig|223283.9.peg.1264,PSPTO_1243
194,fig|223283.9.peg.1290,PSPTO_1268
195,fig|223283.9.peg.1293,PSPTO_1271
rxn06493_c,fig|223283.9.peg.1298,
196,fig|223283.9.peg.1298,PSPTO_1276
197,fig|223283.9.peg.1299,PSPTO_1277
rxn00802_c,fig|223283.9.peg.131,
14,fig|223283.9.peg.131,PSPTO_0125
rxn01331_c,fig|223283.9.peg.1310,
rxn00781_c,fig|223283.9.peg.1310,
198,fig|223283.9.peg.1310,PSPTO_1287
rxn01477_c,fig|223283.9.peg.1311,
199,fig|223283.9.peg.1311,PSPTO_1288
rxn03884_c,fig|223283.9.peg.1324,
rxn00328_c,fig|223283.9.peg.1324,
200,fig|223283.9.peg.1324,PSPTO_1302
201,fig|223283.9.peg.1347,PSPTO_1325
202,fig|223283.9.peg.1348,PSPTO_1326
203,fig|223283.9.peg.1349,PSPTO_1327
rxn00060_c,fig|223283.9.peg.135,
15,fig|223283.9.peg.135,PSPTO_0128
rxn10113_c,fig|223283.9.peg.1350,
204,fig|223283.9.peg.1350,PSPTO_1328
rxn01575_c,fig|223283.9.peg.1354,
rxn00903_c,fig|223283.9.peg.1354,
rxn00806_c,fig|223283.9.peg.1354,
205,fig|223283.9.peg.1354,PSPTO_1332
206,fig|223283.9.peg.1357,PSPTO_1335
207,fig|223283.9.peg.1359,PSPTO_1337
rxn02264_c,fig|223283.9.peg.136,
16,fig|223283.9.peg.136,PSPTO_0129
208,fig|223283.9.peg.1360,PSPTO_1338
209,fig|223283.9.peg.1371,PSPTO_1349
210,fig|223283.9.peg.1376,PSPTO_1354
211,fig|223283.9.peg.1378,PSPTO_1356
212,fig|223283.9.peg.1383,PSPTO_1361
rxn00423_c,fig|223283.9.peg.1441,
213,fig|223283.9.peg.1441,PSPTO_1421
rxn00237_c,fig|223283.9.peg.1450,
rxn01678_c,fig|223283.9.peg.1450,
rxn01353_c,fig|223283.9.peg.1450,
rxn01512_c,fig|223283.9.peg.1450,
rxn00409_c,fig|223283.9.peg.1450,
rxn00117_c,fig|223283.9.peg.1450,
rxn00839_c,fig|223283.9.peg.1450,
214,fig|223283.9.peg.1450,PSPTO_1430
215,fig|223283.9.peg.1455,PSPTO_1435
rxn05108_c,fig|223283.9.peg.1460,
216,fig|223283.9.peg.1460,PSPTO_1440
rxn00902_c,fig|223283.9.peg.1464,
217,fig|223283.9.peg.1464,PSPTO_1444
rxn00834_c,fig|223283.9.peg.1469,
218,fig|223283.9.peg.1469,PSPTO_1449
219,fig|223283.9.peg.1473,PSPTO_1453
rxn00062_c,fig|223283.9.peg.1477,
220,fig|223283.9.peg.1477,PSPTO_1455
rxn03084_c,fig|223283.9.peg.1481,
221,fig|223283.9.peg.1481,PSPTO_1459
222,fig|223283.9.peg.1494,PSPTO_1473
223,fig|223283.9.peg.1497,PSPTO_1476
rxn01302_c,fig|223283.9.peg.1501,
224,fig|223283.9.peg.1501,PSPTO_1480
225,fig|223283.9.peg.1522,PSPTO_1501
rxn00251_c,fig|223283.9.peg.1529,
rxn00866_c,fig|223283.9.peg.1529,
226,fig|223283.9.peg.1529,PSPTO_1508
rxn00097_c,fig|223283.9.peg.1531,
rxn01127_c,fig|223283.9.peg.1531,
227,fig|223283.9.peg.1531,PSPTO_1509
rxn10209_c,fig|223283.9.peg.1543,
rxn10205_c,fig|223283.9.peg.1543,
rxn08551_c,fig|223283.9.peg.1543,
rxn10204_c,fig|223283.9.peg.1543,
rxn10206_c,fig|223283.9.peg.1543,
228,fig|223283.9.peg.1543,PSPTO_1520
rxn01973_c,fig|223283.9.peg.1546,
229,fig|223283.9.peg.1546,PSPTO_1523
rxn12641_c,fig|223283.9.peg.1558,
230,fig|223283.9.peg.1558,PSPTO_1533
231,fig|223283.9.peg.1560,PSPTO_1534
rxn01517_c,fig|223283.9.peg.1562,
rxn00119_c,fig|223283.9.peg.1562,
232,fig|223283.9.peg.1562,PSPTO_1536
rxn09345_c,fig|223283.9.peg.1564,
233,fig|223283.9.peg.1564,PSPTO_1538
rxn08308_c,fig|223283.9.peg.1565,
rxn10222_c,fig|223283.9.peg.1565,
rxn08311_c,fig|223283.9.peg.1565,
rxn10221_c,fig|223283.9.peg.1565,
rxn02405_c,fig|223283.9.peg.1565,
rxn08309_c,fig|223283.9.peg.1565,
rxn10220_c,fig|223283.9.peg.1565,
234,fig|223283.9.peg.1565,PSPTO_1539
rxn03958_c,fig|223283.9.peg.1566,
235,fig|223283.9.peg.1566,PSPTO_1540
rxn06723_c,fig|223283.9.peg.1570,
236,fig|223283.9.peg.1570,PSPTO_1544
rxn06729_c,fig|223283.9.peg.1572,
237,fig|223283.9.peg.1572,PSPTO_1546
rxn03159_c,fig|223283.9.peg.1573,
238,fig|223283.9.peg.1573,PSPTO_1547
239,fig|223283.9.peg.1575,PSPTO_1549
240,fig|223283.9.peg.1576,PSPTO_1550
241,fig|223283.9.peg.1577,PSPTO_1551
rxn00113_c,fig|223283.9.peg.1578,
rxn00412_c,fig|223283.9.peg.1578,
242,fig|223283.9.peg.1578,PSPTO_1552
rxn02331_c,fig|223283.9.peg.1579,
243,fig|223283.9.peg.1579,PSPTO_1553
rxn00459_c,fig|223283.9.peg.1580,
244,fig|223283.9.peg.1580,PSPTO_1554
rxn03907_c,fig|223283.9.peg.1582,
245,fig|223283.9.peg.1582,PSPTO_1556
rxn03910_c,fig|223283.9.peg.1586,
246,fig|223283.9.peg.1586,PSPTO_1560
rxn00717_c,fig|223283.9.peg.1626,
247,fig|223283.9.peg.1626,PSPTO_1602
17,fig|223283.9.peg.164,PSPTO_0158
rxn00474_c,fig|223283.9.peg.165,
rxn01964_c,fig|223283.9.peg.165,
18,fig|223283.9.peg.165,PSPTO_0159
rxn00416_c,fig|223283.9.peg.1657,
248,fig|223283.9.peg.1657,PSPTO_1633
249,fig|223283.9.peg.1663,PSPTO_1639
rxn05231_c,fig|223283.9.peg.1686,
rxn05233_c,fig|223283.9.peg.1686,
rxn06076_c,fig|223283.9.peg.1686,
rxn06075_c,fig|223283.9.peg.1686,
250,fig|223283.9.peg.1686,PSPTO_1661
rxn00225_c,fig|223283.9.peg.1693,
rxn00985_c,fig|223283.9.peg.1693,
251,fig|223283.9.peg.1693,PSPTO_1669
rxn00548_c,fig|223283.9.peg.1694,
rxn01187_c,fig|223283.9.peg.1694,
rxn01308_c,fig|223283.9.peg.1694,
252,fig|223283.9.peg.1694,PSPTO_1670
253,fig|223283.9.peg.1695,PSPTO_1671
rxn06023_c,fig|223283.9.peg.1700,
254,fig|223283.9.peg.1700,PSPTO_1675
rxn00649_c,fig|223283.9.peg.1718,
255,fig|223283.9.peg.1718,PSPTO_1692
256,fig|223283.9.peg.1721,PSPTO_1694
rxn00908_c,fig|223283.9.peg.1726,
rxn03005_c,fig|223283.9.peg.1726,
rxn03004_c,fig|223283.9.peg.1726,
257,fig|223283.9.peg.1726,PSPTO_1699
rxn03147_c,fig|223283.9.peg.1727,
rxn02937_c,fig|223283.9.peg.1727,
258,fig|223283.9.peg.1727,PSPTO_1700
rxn03535_c,fig|223283.9.peg.1736,
rxn05029_c,fig|223283.9.peg.1736,
259,fig|223283.9.peg.1736,PSPTO_1708
rxn11650_c,fig|223283.9.peg.1738,
260,fig|223283.9.peg.1738,PSPTO_1710
rxn05054_c,fig|223283.9.peg.1739,
261,fig|223283.9.peg.1739,PSPTO_1711
rxn01740_c,fig|223283.9.peg.174,
19,fig|223283.9.peg.174,PSPTO_0169
rxn03540_c,fig|223283.9.peg.1741,
262,fig|223283.9.peg.1741,PSPTO_1713
rxn03536_c,fig|223283.9.peg.1742,
rxn03537_c,fig|223283.9.peg.1742,
263,fig|223283.9.peg.1742,PSPTO_1714
rxn02897_c,fig|223283.9.peg.1743,
264,fig|223283.9.peg.1743,PSPTO_1715
rxn03150_c,fig|223283.9.peg.1744,
265,fig|223283.9.peg.1744,PSPTO_1716
rxn03538_c,fig|223283.9.peg.1745,
266,fig|223283.9.peg.1745,PSPTO_1717
rxn02303_c,fig|223283.9.peg.175,
20,fig|223283.9.peg.175,PSPTO_0170
rxn00799_c,fig|223283.9.peg.1758,
267,fig|223283.9.peg.1758,PSPTO_1731
rxn11946_c,fig|223283.9.peg.1769,
rxn03395_c,fig|223283.9.peg.1769,
268,fig|223283.9.peg.1769,PSPTO_1742
269,fig|223283.9.peg.1773,PSPTO_1745
rxn02914_c,fig|223283.9.peg.1775,
rxn03445_c,fig|223283.9.peg.1775,
270,fig|223283.9.peg.1775,PSPTO_1746
rxn01000_c,fig|223283.9.peg.1776,
271,fig|223283.9.peg.1776,PSPTO_1747
rxn01268_c,fig|223283.9.peg.1777,
rxn01269_c,fig|223283.9.peg.1777,
272,fig|223283.9.peg.1777,PSPTO_1748
rxn00364_c,fig|223283.9.peg.1778,
rxn01219_c,fig|223283.9.peg.1778,
273,fig|223283.9.peg.1778,PSPTO_1749
274,fig|223283.9.peg.1783,PSPTO_1754
rxn05307_c,fig|223283.9.peg.1789,
275,fig|223283.9.peg.1789,PSPTO_1760
276,fig|223283.9.peg.1801,PSPTO_1772
rxn00555_c,fig|223283.9.peg.1808,
277,fig|223283.9.peg.1808,PSPTO_1779
rxn05585_c,fig|223283.9.peg.1818,
rxn05552_c,fig|223283.9.peg.1818,
rxn05172_c,fig|223283.9.peg.1818,
rxn05512_c,fig|223283.9.peg.1818,
rxn05620_c,fig|223283.9.peg.1818,
rxn05656_c,fig|223283.9.peg.1818,
rxn05621_c,fig|223283.9.peg.1818,
278,fig|223283.9.peg.1818,PSPTO_1788
279,fig|223283.9.peg.1821,PSPTO_1791
280,fig|223283.9.peg.1826,PSPTO_1796
21,fig|223283.9.peg.184,PSPTO_0178
281,fig|223283.9.peg.1841,PSPTO_1812
282,fig|223283.9.peg.1842,PSPTO_1813
rxn03236_c,fig|223283.9.peg.1851,
283,fig|223283.9.peg.1851,PSPTO_1821
rxn02944_c,fig|223283.9.peg.1862,
284,fig|223283.9.peg.1862,PSPTO_1832
rxn03422_c,fig|223283.9.peg.1865,
285,fig|223283.9.peg.1865,PSPTO_1835
rxn02927_c,fig|223283.9.peg.1866,
286,fig|223283.9.peg.1866,PSPTO_1836
rxn02130_c,fig|223283.9.peg.1868,
rxn00291_c,fig|223283.9.peg.1868,
287,fig|223283.9.peg.1868,PSPTO_1838
rxn00541_c,fig|223283.9.peg.1870,
288,fig|223283.9.peg.1870,PSPTO_1841
289,fig|223283.9.peg.1871,PSPTO_1842
rxn00337_c,fig|223283.9.peg.1872,
290,fig|223283.9.peg.1872,PSPTO_1843
rxn06865_c,fig|223283.9.peg.188,
22,fig|223283.9.peg.188,PSPTO_0182
291,fig|223283.9.peg.1882,PSPTO_1852
292,fig|223283.9.peg.1888,PSPTO_1859
23,fig|223283.9.peg.190,PSPTO_0184
rxn05682_c,fig|223283.9.peg.1902,
rxn05527_c,fig|223283.9.peg.1902,
rxn05197_c,fig|223283.9.peg.1902,
293,fig|223283.9.peg.1902,PSPTO_1871
rxn13782_c,fig|223283.9.peg.191,
24,fig|223283.9.peg.191,PSPTO_0185
294,fig|223283.9.peg.1911,PSPTO_1881
rxn00165_c,fig|223283.9.peg.1916,
295,fig|223283.9.peg.1916,PSPTO_1886
rxn02160_c,fig|223283.9.peg.192,
rxn00549_c,fig|223283.9.peg.192,
25,fig|223283.9.peg.192,PSPTO_0186
rxn01204_c,fig|223283.9.peg.1920,
296,fig|223283.9.peg.1920,PSPTO_1890
rxn01053_c,fig|223283.9.peg.1921,
297,fig|223283.9.peg.1921,PSPTO_1891
rxn00130_c,fig|223283.9.peg.195,
26,fig|223283.9.peg.195,PSPTO_0189
rxn05063_c,fig|223283.9.peg.1960,
rxn05064_c,fig|223283.9.peg.1960,
298,fig|223283.9.peg.1960,PSPTO_1930
1,fig|223283.9.peg.2,PSPTO_0002
rxn00139_c,fig|223283.9.peg.2019,
299,fig|223283.9.peg.2019,PSPTO_1990
rxn04704_c,fig|223283.9.peg.2022,
300,fig|223283.9.peg.2022,PSPTO_1993
301,fig|223283.9.peg.2025,PSPTO_1996
rxn00973_c,fig|223283.9.peg.2047,
rxn01388_c,fig|223283.9.peg.2047,
rxn00974_c,fig|223283.9.peg.2047,
302,fig|223283.9.peg.2047,PSPTO_2016
rxn02939_c,fig|223283.9.peg.2050,
303,fig|223283.9.peg.2050,PSPTO_2019
rxn05551_c,fig|223283.9.peg.2057,
304,fig|223283.9.peg.2057,PSPTO_2026
rxn00710_c,fig|223283.9.peg.2058,
305,fig|223283.9.peg.2058,PSPTO_2028
306,fig|223283.9.peg.2065,PSPTO_2035
rxn02177_c,fig|223283.9.peg.2070,
rxn00141_c,fig|223283.9.peg.2070,
307,fig|223283.9.peg.2070,PSPTO_2039
rxn01255_c,fig|223283.9.peg.2074,
308,fig|223283.9.peg.2074,PSPTO_2043
rxn05104_c,fig|223283.9.peg.2076,
309,fig|223283.9.peg.2076,PSPTO_2045
rxn05092_c,fig|223283.9.peg.2077,
310,fig|223283.9.peg.2077,PSPTO_2046
rxn01406_c,fig|223283.9.peg.2086,
311,fig|223283.9.peg.2086,PSPTO_2055
312,fig|223283.9.peg.2098,PSPTO_2064
rxn10125_c,fig|223283.9.peg.2137,
rxn00083_c,fig|223283.9.peg.2137,
313,fig|223283.9.peg.2137,PSPTO_2106
314,fig|223283.9.peg.2138,PSPTO_2107
rxn00404_c,fig|223283.9.peg.2150,
rxn01333_c,fig|223283.9.peg.2150,
315,fig|223283.9.peg.2150,PSPTO_2119
rxn00470_c,fig|223283.9.peg.219,
rxn00313_c,fig|223283.9.peg.219,
27,fig|223283.9.peg.219,PSPTO_0209
rxn00493_c,fig|223283.9.peg.2194,
316,fig|223283.9.peg.2194,PSPTO_2163
317,fig|223283.9.peg.2197,PSPTO_2166
318,fig|223283.9.peg.2207,PSPTO_2176
rxn02429_c,fig|223283.9.peg.2208,
319,fig|223283.9.peg.2208,PSPTO_2177
rxn00783_c,fig|223283.9.peg.2209,
320,fig|223283.9.peg.2209,PSPTO_2178
rxn02173_c,fig|223283.9.peg.2210,
321,fig|223283.9.peg.2210,PSPTO_2179
322,fig|223283.9.peg.2213,PSPTO_2182
rxn00256_c,fig|223283.9.peg.2225,
323,fig|223283.9.peg.2225,PSPTO_2194
324,fig|223283.9.peg.2227,PSPTO_2195
rxn10126_c,fig|223283.9.peg.2228,
rxn08527_c,fig|223283.9.peg.2228,
rxn08528_c,fig|223283.9.peg.2228,
rxn00288_c,fig|223283.9.peg.2228,
325,fig|223283.9.peg.2228,PSPTO_2196
326,fig|223283.9.peg.2229,PSPTO_2197
327,fig|223283.9.peg.2230,PSPTO_2198
328,fig|223283.9.peg.2231,PSPTO_2199
rxn08094_c,fig|223283.9.peg.2232,
329,fig|223283.9.peg.2232,PSPTO_2200
rxn01241_c,fig|223283.9.peg.2233,
330,fig|223283.9.peg.2233,PSPTO_2201
331,fig|223283.9.peg.2234,PSPTO_2202
rxn00285_c,fig|223283.9.peg.2235,
332,fig|223283.9.peg.2235,PSPTO_2203
rxn05346_c,fig|223283.9.peg.2242,
rxn05350_c,fig|223283.9.peg.2242,
rxn05348_c,fig|223283.9.peg.2242,
333,fig|223283.9.peg.2242,PSPTO_2210
rxn00612_c,fig|223283.9.peg.2245,
334,fig|223283.9.peg.2245,PSPTO_2213
rxn05466_c,fig|223283.9.peg.227,
28,fig|223283.9.peg.227,PSPTO_0218
335,fig|223283.9.peg.2273,PSPTO_2242
rxn10168_c,fig|223283.9.peg.2274,
336,fig|223283.9.peg.2274,PSPTO_2243
337,fig|223283.9.peg.2275,PSPTO_2244
338,fig|223283.9.peg.2309,PSPTO_2275
rxn01790_c,fig|223283.9.peg.2310,
339,fig|223283.9.peg.2310,PSPTO_2276
340,fig|223283.9.peg.2311,PSPTO_2277
341,fig|223283.9.peg.2315,PSPTO_2281
342,fig|223283.9.peg.2316,PSPTO_2282
rxn00289_c,fig|223283.9.peg.2321,
343,fig|223283.9.peg.2321,PSPTO_2287
rxn02832_c,fig|223283.9.peg.2324,
344,fig|223283.9.peg.2324,PSPTO_2289
rxn00147_c,fig|223283.9.peg.2328,
345,fig|223283.9.peg.2328,PSPTO_2292
rxn01974_c,fig|223283.9.peg.233,
rxn00193_c,fig|223283.9.peg.233,
29,fig|223283.9.peg.233,PSPTO_0224
346,fig|223283.9.peg.2331,PSPTO_2295
347,fig|223283.9.peg.2336,PSPTO_2300
30,fig|223283.9.peg.234,PSPTO_0225
rxn00257_c,fig|223283.9.peg.2341,
348,fig|223283.9.peg.2341,PSPTO_2305
349,fig|223283.9.peg.2373,PSPTO_2338
rxn01192_c,fig|223283.9.peg.2374,
350,fig|223283.9.peg.2374,PSPTO_2339
rxn02369_c,fig|223283.9.peg.2376,
351,fig|223283.9.peg.2376,PSPTO_2341
352,fig|223283.9.peg.2377,PSPTO_2342
rxn01827_c,fig|223283.9.peg.2381,
353,fig|223283.9.peg.2381,PSPTO_2346
354,fig|223283.9.peg.2383,PSPTO_2348
355,fig|223283.9.peg.2397,PSPTO_2362
rxn00065_c,fig|223283.9.peg.240,
31,fig|223283.9.peg.240,PSPTO_0230
rxn04043_c,fig|223283.9.peg.2406,
rxn00772_c,fig|223283.9.peg.2406,
356,fig|223283.9.peg.2406,PSPTO_2371
rxn01545_c,fig|223283.9.peg.2408,
rxn01299_c,fig|223283.9.peg.2408,
357,fig|223283.9.peg.2408,PSPTO_2373
358,fig|223283.9.peg.2413,PSPTO_2378
359,fig|223283.9.peg.2415,PSPTO_2380
360,fig|223283.9.peg.2416,PSPTO_2381
361,fig|223283.9.peg.2417,PSPTO_2382
362,fig|223283.9.peg.2418,PSPTO_2383
363,fig|223283.9.peg.2437,PSPTO_2401
364,fig|223283.9.peg.2438,PSPTO_2402
rxn00615_c,fig|223283.9.peg.2439,
365,fig|223283.9.peg.2439,PSPTO_2403
366,fig|223283.9.peg.2445,PSPTO_2409
716,fig|223283.9.peg.2446,
717,fig|223283.9.peg.2447,
367,fig|223283.9.peg.2448,PSPTO_2411
368,fig|223283.9.peg.2464,PSPTO_2427
369,fig|223283.9.peg.2467,PSPTO_2430
370,fig|223283.9.peg.2486,PSPTO_2450
rxn00433_c,fig|223283.9.peg.2488,
371,fig|223283.9.peg.2488,PSPTO_2452
rxn00907_c,fig|223283.9.peg.2489,
rxn01211_c,fig|223283.9.peg.2489,
372,fig|223283.9.peg.2489,PSPTO_2453
rxn00247_c,fig|223283.9.peg.250,
32,fig|223283.9.peg.250,PSPTO_0239
rxn00189_c,fig|223283.9.peg.2528,
rxn00469_c,fig|223283.9.peg.2528,
373,fig|223283.9.peg.2528,PSPTO_2488
rxn05618_c,fig|223283.9.peg.2541,
374,fig|223283.9.peg.2541,PSPTO_2499
rxn01418_c,fig|223283.9.peg.2552,
375,fig|223283.9.peg.2552,PSPTO_2510
376,fig|223283.9.peg.2558,PSPTO_2517
rxn01364_c,fig|223283.9.peg.2609,
377,fig|223283.9.peg.2609,PSPTO_2568
rxn00299_c,fig|223283.9.peg.2619,
378,fig|223283.9.peg.2619,PSPTO_2578
rxn00085_c,fig|223283.9.peg.2627,
379,fig|223283.9.peg.2627,PSPTO_2585
380,fig|223283.9.peg.2629,PSPTO_2586
rxn01258_c,fig|223283.9.peg.2638,
381,fig|223283.9.peg.2638,PSPTO_2595
382,fig|223283.9.peg.2657,PSPTO_2611
33,fig|223283.9.peg.268,PSPTO_0258
rxn05150_c,fig|223283.9.peg.2683,
